City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,287.95,89,100,2.57,US,1712876829
1,puerto natales,-51.7236,-72.4875,276.45,91,36,2.44,CL,1712876712
2,saipan,15.1355,145.701,303.54,66,0,6.69,MP,1712876829
3,fort frances,48.5999,-93.4003,285.27,47,100,5.14,CA,1712876829
4,chonchi,-42.6128,-73.8092,284.71,78,0,0.56,CL,1712876829
5,blackmans bay,-43.0167,147.3167,286.77,80,81,1.34,AU,1712876829
6,sechura,-5.5569,-80.8222,300.24,60,50,6.47,PE,1712876829
7,susuman,62.7833,148.1667,260.92,92,99,1.34,RU,1712876830
8,udachny,66.4167,112.4,248.95,98,100,2.26,RU,1712876830
9,san diego,32.7153,-117.1573,302.28,70,20,4.12,US,1712876814
10,namdrik,5.5994,168.1028,300.79,84,100,8.71,MH,1712876830
11,hawaiian paradise park,19.5933,-154.9731,295.95,97,100,1.54,US,1712876830
12,saint-joseph,-21.3667,55.6167,298.36,83,41,0.87,RE,1712876543
13,ribeira grande,38.5167,-28.7,289.14,94,97,1.79,PT,1712876830
14,nishinoomote,30.7333,131.0,292.07,79,100,8.87,JP,1712876566
15,kulim,5.365,100.5618,300.68,81,98,1.59,MY,1712876665
16,nosy varika,-20.5833,48.5333,297.87,93,98,3.73,MG,1712876831
17,punta arenas,-53.15,-70.9167,282.21,61,0,14.4,CL,1712876378
18,invercargill,-46.4,168.35,283.72,80,99,2.68,NZ,1712876380
19,longyearbyen,78.2186,15.6401,257.06,66,0,4.12,SJ,1712876421
20,queenstown,-31.8976,26.8753,277.63,86,0,0.7,ZA,1712876831
21,sadovoye,47.7764,44.5089,291.85,57,72,3.29,RU,1712876831
22,uvalde,29.3669,-99.767,303.78,13,0,4.63,US,1712876598
23,edinburgh of the seven seas,-37.0676,-12.3116,291.59,94,65,7.01,SH,1712876320
24,southside,33.9245,-86.0225,287.05,94,100,5.66,US,1712876832
25,iqaluit,63.7506,-68.5145,271.0,68,100,2.57,CA,1712876414
26,isafjordur,66.0755,-23.124,270.28,94,100,13.49,IS,1712876464
27,maun,-19.9833,23.4167,293.18,40,77,2.3,BW,1712876821
28,port-aux-francais,-49.35,70.2167,279.15,85,100,2.46,TF,1712876832
29,port mathurin,-19.6833,63.4167,299.75,77,7,4.83,MU,1712876832
30,albany,42.6001,-73.9662,287.97,81,100,2.24,US,1712876408
31,cacador,-26.7753,-51.015,290.73,92,100,2.15,BR,1712876832
32,fortuna,40.5982,-124.1573,288.11,78,75,5.66,US,1712876760
33,grytviken,-54.2811,-36.5092,271.56,69,12,4.33,GS,1712876832
34,adamstown,-25.066,-130.1015,294.21,54,4,5.59,PN,1712876712
35,lakatoro,-16.0999,167.4164,302.68,72,61,2.12,VU,1712876833
36,kodiak,57.79,-152.4072,274.88,93,100,3.09,US,1712876546
37,nova sintra,14.8667,-24.7167,295.81,76,2,7.38,CV,1712876557
38,west island,-12.1568,96.8225,300.14,83,75,3.09,CC,1712876833
39,mahanoro,-19.9,48.8,298.37,92,99,2.72,MG,1712876833
40,margaret river,-33.95,115.0667,284.8,88,5,5.37,AU,1712876731
41,avarua,-21.2078,-159.775,300.18,94,75,5.66,CK,1712876708
42,noumea,-22.2763,166.4572,299.26,99,100,1.33,NC,1712876833
43,east london,-33.0153,27.9116,288.75,64,40,6.74,ZA,1712876730
44,cockburn town,21.4612,-71.1419,298.47,81,5,9.26,TC,1712876834
45,whitehorse,60.7161,-135.0538,280.58,33,20,6.17,CA,1712876794
46,waitangi,-43.9535,-176.5597,290.83,92,100,4.92,NZ,1712876834
47,lihue,21.9789,-159.3672,300.73,80,0,2.06,US,1712876720
48,carroll,39.5501,-77.0164,291.48,88,94,4.47,US,1712876834
49,airuk,7.2772,168.8203,300.76,82,99,9.41,MH,1712876834
50,yellowknife,62.456,-114.3525,276.44,60,40,4.63,CA,1712876718
51,ushuaia,-54.8,-68.3,280.96,66,0,12.35,AR,1712876785
52,lebu,-37.6167,-73.65,284.75,89,1,2.37,CL,1712876834
53,mountain home,43.133,-115.6912,296.16,27,0,5.66,US,1712876835
54,smithers,54.7804,-127.1743,279.65,80,96,1.34,CA,1712876835
55,yuzhno-kurilsk,44.0306,145.8556,277.8,76,100,3.98,RU,1712876723
56,nouadhibou,20.931,-17.0347,291.1,89,0,5.15,MR,1712876835
57,ilulissat,69.2167,-51.1,267.16,86,100,1.54,GL,1712876835
58,kinel'-cherkassy,53.4706,51.4743,285.22,84,100,6.02,RU,1712876835
59,santa ana de yacuma,-13.75,-65.4333,301.12,83,75,0.0,BO,1712876835
60,west bay,19.3667,-81.4167,303.18,82,20,4.63,KY,1712876835
61,hadibu,12.65,54.0333,300.11,78,95,2.1,YE,1712876836
62,dengzhou,37.8086,120.7508,286.66,51,0,4.04,CN,1712876599
63,colchani,-20.3,-66.9333,287.73,24,16,2.9,BO,1712876836
64,wenchang,30.904,118.4887,289.71,99,100,1.64,CN,1712876836
65,shelkovskaya,43.5069,46.3392,283.71,59,63,1.5,RU,1712876836
66,utrik,11.2278,169.8474,299.84,74,97,9.25,MH,1712876836
67,castillos,-34.1667,-53.8333,289.85,58,99,3.16,UY,1712876836
68,cidreira,-30.1811,-50.2056,293.5,82,100,8.03,BR,1712876836
69,thompson,55.7435,-97.8558,274.24,75,100,4.12,CA,1712876727
70,vila velha,-20.3297,-40.2925,300.9,82,20,2.06,BR,1712876836
71,port douglas,-16.4833,145.4667,298.44,65,50,3.66,AU,1712876837
72,aykhal,66.0,111.5,247.35,99,100,2.6,RU,1712876547
73,carlisle,40.2015,-77.1889,292.04,85,100,1.79,US,1712876574
74,gaspe,48.8334,-64.4819,278.27,75,75,2.06,CA,1712876765
75,mata-utu,-13.2816,-176.1745,302.78,75,40,4.92,WF,1712876636
76,kavaratti,10.5669,72.642,302.15,67,1,1.29,IN,1712876548
77,hamilton,39.1834,-84.5333,288.64,89,100,11.62,US,1712876748
78,poronaysk,49.2167,143.1167,280.81,70,42,3.23,RU,1712876628
79,bosobolo,4.1833,19.9,299.83,57,18,1.14,CD,1712876837
80,geraldton,-28.7667,114.6,292.38,72,40,3.6,AU,1712876623
81,vilyuchinsk,52.9306,158.4028,277.3,80,6,3.32,RU,1712876838
82,khark,29.2614,50.3306,296.86,67,0,5.26,IR,1712876838
83,ust-nera,64.5667,143.2,266.06,92,89,2.39,RU,1712876838
84,atafu village,-8.5421,-172.5159,302.71,76,42,3.69,TK,1712876838
85,badger,64.8,-147.5333,280.36,44,75,5.14,US,1712876718
86,road town,18.4167,-64.6167,300.17,74,75,7.72,VG,1712876838
87,talnakh,69.4865,88.3972,243.26,97,95,3.91,RU,1712876729
88,kapuskasing,49.4169,-82.4331,284.03,83,100,2.25,CA,1712876838
89,zyryanskoye,56.8306,86.6258,265.13,85,94,3.35,RU,1712876838
90,sittwe,20.15,92.9,298.04,60,0,2.4,MM,1712876838
91,cooper's town,26.8667,-77.5167,297.2,89,100,10.56,BS,1712876839
92,borogontsy,62.6683,131.1683,265.94,95,100,4.26,RU,1712876556
93,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,38,0,5.0,RU,1712876638
94,bilibino,68.0546,166.4372,261.15,81,100,1.41,RU,1712876715
